"id";"escala";"nivel";"identificador";"puntuacion";"utilidad";"elevacion";"interpretacion"
1;1;"Muy Alto";80;"80 o más";"Probablemente inválido";"El sujeto aparenta estar bien adaptado";"Resistencia a la prueba o ingenuidad"
2;1;"Alto";70;"70 a 79";"Validez cuestionable";"Se responde al azar-Se niegan los defectos";"Estado de confusión-Represión--Falta de insight"
3;1;"Moderado";60;"60 a 69";"Probablemente válido";"Defensividad marcada";"Persona muy convencional y conformista-El sujeto puede ser moralista o rígido"
4;1;"Medio";50;"50 a 59";"Válido";"Actitud adecuada ante la prueba";"Conforme con la propia autoimagen"
5;1;"Bajo";49;"49 o menos";"Posiblemente se aparenta tener problemas emocionales o graves";"Se responde verdadero a todo lo que produce un perfil elevado";"Patología exagerada-Indicada un sujeto confiado en sí mismo e independiente-Persona cínica o sarcástica"
6;2;"Muy alto";91;"91 o más";"Probablemente inválido";"Respuestas al azar-Errores de calificación-Dislexia grave";"Poco cooperativo, finge síntomas equivocados-Habilidad de lectura limitada-Resistencia a la prueba"
7;2;"Alto";71;"71 a 90";"Validez cuestionable";"Patología fingida-Proceso psicótico-Se responde a todo ""verdadero""";"Súplica de ayuda-Crisis de identidad adolescente-Estado de confusión"
8;2;"Moderado";56;"56 a 70";"Probablemente válido";"Deseo de mostrarse poco convencional-Compromisos políticos, sociales o religiosos fuertes-Problemas en la atención-Honestidad extrema al responder-Alteración por una crisis";"Riesgo de actos agresivos,impulsivos-Persona reprimida,inquieta e inestable-Psicopatologia relativamente severa-Autocritico-Ansioso,distraido"
9;2;"Medio";45;"45 a 55";"Protocolo aceptable";"Algunas creencias pueden desviarse de lo esperado";"Buen funcionamiento-Respuesta común a la prueba"
10;2;"Bajo";44;"44 o menos";"Protocolo aceptable";"Conformismo-Posiblemente se finge estar bien";"Convencional-Sincero-Socialmente adaptado"
11;3;"Alto";71;"71 o más";"";"Defensividad marcada-Se finge estar bien-Se responde a todo ""falso""-Cauteloso en situaciones relacionadas con su trabajo";"Sujeto tímido, inhibido, falta de involucramiento emocional-Se utiliza la negación-Falta de insight"
12;3;"Moderado";56;"56 a 70";"";"Defensividad moderada-No reconocimiento de problemas";"Adaptado-Autoconfianza-No dispuesto a pedir ayuda-Suficientes recursos para el tratamiento"
13;3;"Medio";41;"41 a 55";"";"Equilibrio entre autoprotección y autodescubrimiento";"Suficientes recursos para el tratamiento"
14;3;"Bajo";40;"40 o menos";"";"Al responder finge en forma inadecuada-Responde a todo ""verdadero""-Suplica ayuda-Defensas inadecuadas";"Cínico,escéptico-Estado de pánico-Pobre autoconcepto-Critico de si mismo y de otros"
